title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Redbone,Childish Gambino,2016,160.0,34.0,74.0,-11.0,10.0,58.0,327.0,17.0,12.0,87.0
"Hey, Soul Sister",Train,2010,97.0,89.0,67.0,-4.0,8.0,80.0,217.0,19.0,4.0,87.0
Memories,Maroon 5,2021,91.0,33.0,78.0,-7.0,8.0,60.0,189.0,84.0,6.0,87.0
rockstar (feat. 21 Savage),Post Malone,2018,160.0,52.0,59.0,-6.0,13.0,13.0,218.0,12.0,7.0,87.0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,2012,146.0,92.0,64.0,-4.0,9.0,85.0,258.0,3.0,8.0,87.0
Lucid Dreams,Juice WRLD,2018,84.0,57.0,51.0,-7.0,34.0,22.0,240.0,35.0,20.0,87.0
goosebumps,Travis Scott,2016,130.0,73.0,84.0,-3.0,15.0,43.0,244.0,8.0,5.0,87.0
telepatía,Kali Uchis,2021,83.97,52.400000000000006,65.3,-9.016,20.3,55.300000000000004,160.191,11.200000000000001,5.0200000000000005,87.0
DÁKITI,Bad Bunny,2021,109.928,57.3,73.1,-10.059,11.3,14.499999999999998,205.09,40.1,5.4399999999999995,87.0
Safe And Sound,Capital Cities,2013,118.0,82.0,66.0,-5.0,10.0,77.0,193.0,0.0,3.0,87.0
Moonlight,XXXTENTACION,2018,128.0,54.0,92.0,-6.0,10.0,71.0,135.0,56.0,8.0,87.0
HUMBLE.,Kendrick Lamar,2017,150.0,62.0,91.0,-7.0,10.0,42.0,177.0,0.0,10.0,87.0
Thunder,Imagine Dragons,2017,168.0,82.0,61.0,-5.0,15.0,29.0,187.0,1.0,4.0,87.0
Love Yourself,Justin Bieber,2015,100.0,38.0,61.0,-10.0,28.0,52.0,234.0,84.0,44.0,87.0
SICKO MODE,Travis Scott,2018,155.0,73.0,83.0,-4.0,12.0,45.0,313.0,1.0,22.0,86.0
Stuck with U (with Justin Bieber),Ariana Grande,2020,179.0,45.0,60.0,-7.0,38.0,54.0,228.0,22.0,4.0,86.0
SICKO MODE,Travis Scott,2018,155.0,73.0,83.0,-4.0,12.0,45.0,313.0,1.0,22.0,86.0
Timber (feat. Ke$ha),Pitbull,2012,130.0,96.0,58.0,-4.0,14.0,79.0,204.0,3.0,10.0,86.0
Stay With Me,Sam Smith,2014,84.0,42.0,42.0,-6.0,11.0,18.0,173.0,59.0,4.0,86.0
I Like Me Better,Lauv,2018,92.0,51.0,75.0,-8.0,10.0,42.0,197.0,54.0,25.0,86.0
All I Want,Kodaline,2013,187.0,41.0,19.0,-10.0,8.0,16.0,306.0,17.0,5.0,86.0
Godzilla (feat. Juice WRLD),Eminem,2020,166.0,75.0,81.0,-5.0,29.0,83.0,211.0,14.0,34.0,86.0
HIGHEST IN THE ROOM,Travis Scott,2019,76.0,43.0,60.0,-9.0,21.0,6.0,176.0,5.0,3.0,86.0
Callaita,Bad Bunny,2019,176.0,62.0,61.0,-5.0,24.0,24.0,251.0,60.0,31.0,86.0
Adore You,Harry Styles,2019,99.0,77.0,68.0,-4.0,10.0,57.0,207.0,2.0,5.0,86.0
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2011,129.0,94.0,67.0,-3.0,30.0,53.0,252.0,19.0,16.0,86.0
Summer,Calvin Harris,2014,128.0,86.0,60.0,-4.0,14.0,74.0,223.0,2.0,3.0,86.0
Before You Go,Lewis Capaldi,2019,112.0,57.0,46.0,-5.0,9.0,18.0,215.0,60.0,6.0,86.0
death bed (coffee for your head),Powfu,2020,144.0,43.0,73.0,-9.0,70.0,35.0,173.0,73.0,14.0,86.0
ROCKSTAR (feat. Roddy Ricch),DaBaby,2020,90.0,69.0,75.0,-8.0,10.0,50.0,182.0,25.0,16.0,86.0
Happier,Marshmello,2018,100.0,79.0,69.0,-3.0,17.0,67.0,214.0,19.0,5.0,86.0
Boy With Luv (feat. Halsey),BTS,2019,120.0,86.0,65.0,-5.0,19.0,80.0,230.0,9.0,8.0,86.0
Lover,Taylor Swift,2019,69.0,54.0,36.0,-8.0,12.0,45.0,221.0,49.0,9.0,86.0
Pareja Del Año,Sebastian Yatra,2021,80.015,62.2,71.5,-5.102,9.48,80.80000000000001,195.053,16.3,4.6,86.0
Treat You Better,Shawn Mendes,2017,83.0,82.0,44.0,-4.0,11.0,75.0,188.0,11.0,34.0,86.0
Thinking out Loud,Ed Sheeran,2014,79.0,45.0,78.0,-6.0,18.0,59.0,282.0,47.0,3.0,86.0
Heartbreak Anniversary,Giveon,2021,89.087,46.5,44.9,-8.964,30.3,54.300000000000004,198.371,52.400000000000006,7.91,86.0
Shut Up and Dance,WALK THE MOON,2014,128.0,87.0,58.0,-4.0,26.0,62.0,199.0,1.0,6.0,86.0
Uptown Funk (feat. Bruno Mars),Mark Ronson,2015,115.0,61.0,86.0,-7.0,3.0,93.0,270.0,1.0,8.0,86.0
Baby,Justin Bieber,2010,65.0,86.0,73.0,-5.0,11.0,54.0,214.0,4.0,14.0,86.0
One Kiss (with Dua Lipa),Calvin Harris,2018,124.0,86.0,79.0,-3.0,8.0,59.0,215.0,4.0,11.0,86.0
TiK ToK,Kesha,2010,120.0,84.0,76.0,-3.0,29.0,71.0,200.0,10.0,14.0,86.0
Unforgettable,French Montana,2017,98.0,77.0,73.0,-5.0,10.0,73.0,234.0,3.0,12.0,86.0
